Start_Building_Code,Start_Lat,Start_Lng,Start_EntranceName,End_Building_Code,End_Lat,End_Lng,End_EntranceName,Distance_m,Duration_s,Building_Pair
AC,42.9998354,-81.27813773,AC-NE,AC,42.99953974,-81.27869234,AC-NW,56.0,50,"AC,AC"
AC,42.9998354,-81.27813773,AC-NE,AC,42.99873116,-81.27882751,AC-SW,135.0,140,"AC,AC"
AC,42.9998354,-81.27813773,AC-NE,AC,42.99897899,-81.27766416,AC-SE,103.0,76,"AC,AC"
AC,42.9998354,-81.27813773,AC-NE,OHALL,43.00085834,-81.27944242,OHALL-N,257.0,228,"AC,OHALL"
AC,42.9998354,-81.27813773,AC-NE,OHALL,43.00052437,-81.27940662,OHALL-S,295.0,242,"AC,OHALL"
AC,42.9998354,-81.27813773,AC-NE,CHILDCARECENTRE,43.0006094,-81.2775771,CHILDCARECENTRE,160.0,133,"AC,CHILDCARECENTRE"
AC,42.9998354,-81.27813773,AC-NE,PERTH,43.00000056,-81.27685516,PERTH,193.0,162,"AC,PERTH"
AC,42.9998354,-81.27813773,AC-NE,LONDONHALL,43.00042764,-81.27584698,LONDONHALL,515.0,435,"AC,LONDONHALL"
AC,42.9998354,-81.27813773,AC-NE,ESSEXHALL,43.00109426,-81.27584546,ESSEXHALL,528.0,446,"AC,ESSEXHALL"
AC,42.9998354,-81.27813773,AC-NE,ALUMNISTAD,43.00110043,-81.27355232,ALUMNISTAD,753.0,618,"AC,ALUMNISTAD"
AC,42.9998354,-81.27813773,AC-NE,REC,43.00344524,-81.27523253,REC-N,601.0,506,"AC,REC"
AC,42.9998354,-81.27813773,AC-NE,REC,43.00273623,-81.27518014,REC-S,516.0,434,"AC,REC"
AC,42.9998354,-81.27813773,AC-NE,EC,43.00229815,-81.27779476,EC-SE,328.0,288,"AC,EC"
AC,42.9998354,-81.27813773,AC-NE,EC,43.00234765,-81.27824245,EC-SW,331.0,296,"AC,EC"
AC,42.9998354,-81.27813773,AC-NE,EC,43.0026528,-81.27839011,EC-NW,343.0,313,"AC,EC"
AC,42.9998354,-81.27813773,AC-NE,EC,43.00285546,-81.27783162,EC-NE,458.0,399,"AC,EC"
AC,42.9998354,-81.27813773,AC-NE,IVEY,43.00420642,-81.27729083,IVEY-S,649.0,561,"AC,IVEY"
AC,42.9998354,-81.27813773,AC-NE,IVEY,43.00490921,-81.27769596,IVEY-N,789.0,673,"AC,IVEY"
AC,42.9998354,-81.27813773,AC-NE,ACEB,43.00378375,-81.2764692,ACEB-S,563.0,481,"AC,ACEB"
AC,42.9998354,-81.27813773,AC-NE,ACEB,43.00428522,-81.27616849,ACEB-N,835.0,709,"AC,ACEB"
AC,42.9998354,-81.27813773,AC-NE,BLWT,43.00421003,-81.27599916,BLWT-N,835.0,709,"AC,BLWT"
AC,42.9998354,-81.27813773,AC-NE,BLWT,43.00384497,-81.27603731,BLWT-S,704.0,604,"AC,BLWT"
AC,42.9998354,-81.27813773,AC-NE,TEB,43.00424554,-81.27519551,TEB,693.0,588,"AC,TEB"
AC,42.9998354,-81.27813773,AC-NE,SEB,43.00565449,-81.2752637,SEB-NE,853.0,730,"AC,SEB"
AC,42.9998354,-81.27813773,AC-NE,SEB,43.00567845,-81.27544285,SEB-NW,857.0,734,"AC,SEB"
AC,42.9998354,-81.27813773,AC-NE,SEB,43.00511148,-81.27531674,SEB-S,790.0,674,"AC,SEB"
AC,42.9998354,-81.27813773,AC-NE,LAW,43.00625007,-81.27603477,LAW-S,871.0,740,"AC,LAW"
AC,42.9998354,-81.27813773,AC-NE,LAW,43.00672444,-81.27606274,LAW-N,1009.0,874,"AC,LAW"
AC,42.9998354,-81.27813773,AC-NE,AH,43.00601082,-81.27486924,AH,902.0,775,"AC,AH"
AC,42.9998354,-81.27813773,AC-NE,HSB,43.00543568,-81.27258563,HSB-E,987.0,803,"AC,HSB"
AC,42.9998354,-81.27813773,AC-NE,HSB,43.00545007,-81.27340601,HSB-W,950.0,819,"AC,HSB"
AC,42.9998354,-81.27813773,AC-NE,HSB,43.00513156,-81.27276083,HSB-S,932.0,751,"AC,HSB"
AC,42.9998354,-81.27813773,AC-NE,FIMS,43.00605504,-81.27209507,FIMS-NE,1015.0,818,"AC,FIMS"
AC,42.9998354,-81.27813773,AC-NE,FIMS,43.00607786,-81.27303684,FIMS-NW,1021.0,883,"AC,FIMS"
AC,42.9998354,-81.27813773,AC-NE,FIMS,43.00588043,-81.27289206,FIMS-SW,997.0,859,"AC,FIMS"
AC,42.9998354,-81.27813773,AC-NE,FIMS,43.00569173,-81.27223696,FIMS-SE,987.0,795,"AC,FIMS"
AC,42.9998354,-81.27813773,AC-NE,FIMS,43.00598656,-81.27252971,FIMS-C,1019.0,822,"AC,FIMS"
AC,42.9998354,-81.27813773,AC-NE,TC,43.0077195,-81.27040825,TC-E,1370.0,1114,"AC,TC"
AC,42.9998354,-81.27813773,AC-NE,TC,43.00772756,-81.27061825,TC-W,1379.0,1126,"AC,TC"
AC,42.9998354,-81.27813773,AC-NE,MB,43.0066738,-81.27081621,MB-E,1285.0,1039,"AC,MB"
AC,42.9998354,-81.27813773,AC-NE,MB,43.006646,-81.27128258,MB-W,1105.0,892,"AC,MB"
AC,42.9998354,-81.27813773,AC-NE,IGAB,43.00766965,-81.27242932,IGAB,1256.0,1066,"AC,IGAB"
AC,42.9998354,-81.27813773,AC-NE,AHB,43.00723462,-81.27327171,AHB,1109.0,939,"AC,AHB"
AC,42.9998354,-81.27813773,AC-NE,TH,43.00654574,-81.27454886,TH-S,974.0,834,"AC,TH"
AC,42.9998354,-81.27813773,AC-NE,TH,43.00718329,-81.27438239,TH-N,1065.0,912,"AC,TH"
AC,42.9998354,-81.27813773,AC-NE,SH,43.00740362,-81.27432411,SH-S,1070.0,916,"AC,SH"
AC,42.9998354,-81.27813773,AC-NE,SH,43.00802523,-81.27427147,SH-N,1186.0,1008,"AC,SH"
AC,42.9998354,-81.27813773,AC-NE,3M,43.00702369,-81.27388797,3M,1083.0,916,"AC,3M"
AC,42.9998354,-81.27813773,AC-NE,WELDON,43.00821716,-81.27603592,WELDON,1102.0,932,"AC,WELDON"
AC,42.9998354,-81.27813773,AC-NE,UCC,43.00857879,-81.27594208,UCC-E,1165.0,987,"AC,UCC"
AC,42.9998354,-81.27813773,AC-NE,UCC,43.00837782,-81.27649297,UCC-WSS,1113.0,942,"AC,UCC"
AC,42.9998354,-81.27813773,AC-NE,WSS,43.00807642,-81.27655837,WSS,1088.0,921,"AC,WSS"
AC,42.9998354,-81.27813773,AC-NE,UCC,43.00899963,-81.2761834,UCC-N,1305.0,1095,"AC,UCC"
AC,42.9998354,-81.27813773,AC-NE,UCC,43.00880649,-81.27688362,UCC-W,1124.0,951,"AC,UCC"
AC,42.9998354,-81.27813773,AC-NE,SSC,43.00965946,-81.2759016,SSC-W,1384.0,1161,"AC,SSC"
AC,42.9998354,-81.27813773,AC-NE,SSC,43.00932787,-81.27468226,SSC-E,1299.0,1107,"AC,SSC"
AC,42.9998354,-81.27813773,AC-NE,LH,43.00823546,-81.27420325,LH-S,1239.0,1048,"AC,LH"
AC,42.9998354,-81.27813773,AC-NE,LH,43.00829954,-81.27397279,LH-E,1238.0,1048,"AC,LH"
AC,42.9998354,-81.27813773,AC-NE,STH,43.00894023,-81.27376026,STH-N,1311.0,1109,"AC,STH"
AC,42.9998354,-81.27813773,AC-NE,STH,43.00870454,-81.27385095,STH-S,1284.0,1087,"AC,STH"
AC,42.9998354,-81.27813773,AC-NE,UC,43.00881638,-81.27309378,UC-N,1337.0,1132,"AC,UC"
AC,42.9998354,-81.27813773,AC-NE,UC,43.00819123,-81.27365011,UC-S,1250.0,1058,"AC,UC"
AC,42.9998354,-81.27813773,AC-NE,DEL,43.00868489,-81.26913047,DEL,1474.0,1201,"AC,DEL"
AC,42.9998354,-81.27813773,AC-NE,MC,43.00906058,-81.270226,MC-S,1504.0,1265,"AC,MC"
AC,42.9998354,-81.27813773,AC-NE,MC,43.00968023,-81.27022148,MC-N,1575.0,1303,"AC,MC"
AC,42.9998354,-81.27813773,AC-NE,COLLIP,43.01022111,-81.27157608,COLLIP,1568.0,1309,"AC,COLLIP"
AC,42.9998354,-81.27813773,AC-NE,WSC,43.01002089,-81.27191861,WSC-W,1549.0,1296,"AC,WSC"
AC,42.9998354,-81.27813773,AC-NE,WSC,43.00979229,-81.27133433,WSC-S,1545.0,1299,"AC,WSC"
AC,42.9998354,-81.27813773,AC-NE,PAB,43.01010439,-81.27274306,PAB-N,1466.0,1237,"AC,PAB"
AC,42.9998354,-81.27813773,AC-NE,PAB,43.00985044,-81.27307257,PAB-W,1437.0,1211,"AC,PAB"
AC,42.9998354,-81.27813773,AC-NE,NCB,43.01023924,-81.26985844,NCB,1645.0,1345,"AC,NCB"
AC,42.9998354,-81.27813773,AC-NE,VAC,43.01058488,-81.27031038,VAC,1678.0,1375,"AC,VAC"
AC,42.9998354,-81.27813773,AC-NE,WIRB,43.01158916,-81.27153369,WIRB-W,1743.0,1439,"AC,WIRB"
AC,42.9998354,-81.27813773,AC-NE,WIRB,43.01158524,-81.27081236,WIRB-E,1810.0,1480,"AC,WIRB"
AC,42.9998354,-81.27813773,AC-NE,CHEM,43.01181391,-81.2725283,CHEM,1719.0,1439,"AC,CHEM"
AC,42.9998354,-81.27813773,AC-NE,RRI,43.01180131,-81.2734102,RRI-E,1622.0,1363,"AC,RRI"
AC,42.9998354,-81.27813773,AC-NE,RRI,43.01146303,-81.2739423,RRI-W,1554.0,1316,"AC,RRI"
AC,42.9998354,-81.27813773,AC-NE,NSC,43.01038848,-81.27290793,NSC-E,1452.0,1224,"AC,NSC"
AC,42.9998354,-81.27813773,AC-NE,NSC,43.01034827,-81.27335325,NSC-W,1435.0,1210,"AC,NSC"
AC,42.9998354,-81.27813773,AC-NE,DSB,43.01122597,-81.27511266,DSB-N,2057.0,1669,"AC,DSB"
AC,42.9998354,-81.27813773,AC-NE,DSB,43.01109261,-81.27436701,DSB-E,1593.0,1350,"AC,DSB"
AC,42.9998354,-81.27813773,AC-NE,DSB,43.01102827,-81.27465402,DSB-W,1531.0,1283,"AC,DSB"
